ENSEMBL,Symbol,NPYWT_ZT0_dup1,NPYWT_ZT4_dup1,NPYWT_ZT8_dup1,NPYWT_ZT12_dup1,NPYWT_ZT16_dup1,NPYWT_ZT20_dup1,NPYWT_ZT0_dup2,NPYWT_ZT4_dup2,NPYWT_ZT8_dup2,NPYWT_ZT12_dup2,NPYWT_ZT16_dup2,NPYWT_ZT20_dup2,NPYKO_ZT0_dup1,NPYKO_ZT4_dup1,NPYKO_ZT8_dup1,NPYKO_ZT12_dup1,NPYKO_ZT16_dup1,NPYKO_ZT20_dup1,NPYKO_ZT0_dup2,NPYKO_ZT4_dup2,NPYKO_ZT8_dup2,NPYKO_ZT12_dup2,NPYKO_ZT16_dup2,NPYKO_ZT20_dup2
ENSMUSG00000013415,Igf2bp1,4.805742232,4.470529134,4.605194642,4.65808694,4.230047814,4.747622174,4.740375878,4.767190318,4.361615843,4.526200247,4.866144914,4.725350877,4.618655156,5.180428701,4.556012627,4.941231213,4.654652558,4.599532647,4.635422595,4.490391306,4.444174878,4.469916852,4.57326342,4.774051387
ENSMUSG00000033581,Igf2bp2,6.506316586,5.369996319,5.104337744,4.157070597,4.055901187,5.325118317,6.839535001,5.760911159,4.05568213,4.274405119,4.040592953,6.341379269,5.979794432,3.175337409,5.789032424,3.286098486,4.876798599,5.500203266,6.401277185,4.141493495,6.072390884,4.35498559,4.551669892,5.415369044
ENSMUSG00000046070,Igfals,8.213372911,8.789034531,7.889586742,7.769652343,8.067507534,9.055884172,8.555120579,8.110119283,8.286428107,8.330697796,8.434424343,8.815159982,8.831746181,7.733954927,8.045378929,8.072652172,7.809855611,8.428242656,8.95223485,8.169158062,8.108159935,7.746605724,8.517230829,8.401470931
ENSMUSG00000039323,Igfbp2,7.372742029,7.99756511,7.24727653,6.829365904,6.72287816,7.209029102,7.399031847,7.640723248,6.826028279,7.00139869,7.791356399,7.112684782,7.137084859,7.765610725,7.769385086,7.188437127,7.186844617,7.227596682,7.604063665,7.787884496,7.555731406,7.063762484,7.538761298,7.315507656
ENSMUSG00000020427,Igfbp3,5.525746565,4.747437741,4.204072394,4.622323784,4.642415798,5.01961659,4.46503811,4.649025875,4.775831619,4.792946462,4.263839053,4.459952296,4.42070863,5.162518679,4.457437266,4.554809705,5.107552335,5.123640037,4.302157525,5.340116005,4.544587653,5.658370471,4.527481278,5.415719499
ENSMUSG00000017493,Igfbp4,9.106229964,9.128588566,9.387902986,9.316460383,9.127520482,9.029044484,9.067469544,9.193859071,9.459384002,9.225199671,9.195425368,8.997514744,9.337895988,8.811833007,7.43115063,9.055566715,9.079907073,9.097332958,9.29040112,9.380103074,9.220780936,9.399632926,9.108077417,9.299145
ENSMUSG00000026185,Igfbp5,2.272457892,2.925117126,5.221504314,4.795024689,4.085043946,4.341295726,2.747057258,2.38414804,4.814955086,2.929715458,4.131930001,4.858121873,4.560140365,4.087345396,5.164536622,4.306741041,3.305854607,4.276106981,5.688197422,3.601047396,2.824455771,2.772750419,3.163484205,5.245407837
ENSMUSG00000023046,Igfbp6,6.747816215,6.280250094,7.184597083,7.495963773,6.872072821,6.392551094,6.591414223,6.897505936,6.885862362,6.921011047,6.635613259,6.622861152,6.571327004,6.173533266,7.218896797,6.921011047,7.136276226,7.120810929,7.083180805,7.042720271,7.166718183,7.509882706,6.897505936,7.38921062
ENSMUSG00000035551,Igfbpl1,3.12376271,2.536336306,4.323386426,3.204962732,3.966479764,3.239894637,2.881176219,4.126487604,2.977727227,3.264563066,2.310752811,2.572232734,3.435435568,2.807696283,3.722073628,2.905254438,4.50122889,4.279637973,3.461082226,3.536946515,3.188983874,3.898214783,3.272535472,3.348877934
ENSMUSG00000076615,Ighg3,6.361689173,6.871510466,6.540389316,6.469715894,6.913878922,6.702710366,6.522131141,6.492915682,6.634844224,6.986239718,6.531843838,6.436965301,6.578586931,6.710043266,6.475042967,6.281240871,6.865068041,6.927568871,6.538447165,6.200181029,6.483357549,6.619254107,6.77533057,6.607432852
ENSMUSG00000076617,Ighm,6.700363751,6.971411183,6.86126639,7.095786613,7.419354206,7.293534399,7.0926834,6.892500465,7.229691797,7.307484267,7.107757172,7.089524545,7.270667999,6.77654894,7.216124904,7.388386451,6.933268086,6.647785653,6.969223051,6.87176224,7.25391308,7.045859272,7.205181417,7.159510279
ENSMUSG00000024831,Ighmbp2,4.599075593,3.511482023,4.282430638,3.657280978,3.455854874,4.643455532,4.078075529,3.503880294,4.467268876,4.276791016,2.874979261,3.821421068,2.994665766,3.891216119,4.26315588,4.965844336,4.305325116,4.034715865,3.715611073,3.182470607,4.426949579,4.90135627,3.660731813,3.579303395
ENSMUSG00000076709,Ighv1-47,5.763343288,5.750399804,5.267908247,4.853127659,5.609037686,5.68154348,5.717522494,5.160087489,5.212710779,6.147535674,5.031868856,4.950888329,5.204337492,4.944445025,6.213958426,5.389692611,3.696787942,4.763441281,6.06019501,5.47086142,3.918899325,4.730696789,5.279063799,5.46680263
ENSMUSG00000076609,Igkc,4.550183472,5.075477876,5.215325579,4.684279291,4.84828935,5.049813135,5.250637389,4.774194229,5.990772586,4.580550994,5.014501956,5.322177518,4.914229334,5.178905357,5.892493967,5.883898808,4.664395054,5.270383251,5.387725423,5.515615407,4.959513443,6.626971733,5.005688086,5.10376897
ENSMUSG00000094491,Igkv1-133,6.133735035,6.122987078,6.134246143,6.905867289,6.519941829,6.843052172,6.597432286,7.03375512,6.392513343,6.420193786,6.368747046,6.422217289,6.894124131,6.477394581,6.361106535,6.031004857,6.567512708,6.412968778,6.591725919,6.553080423,6.278703057,6.518531249,5.735248574,6.294783709
ENSMUSG00000076523,Igkv15-103,10.70920326,10.89810776,10.96684567,10.16350956,10.35587075,10.86041862,10.81051562,10.88195282,10.59135975,10.26660729,10.64600835,10.41854779,10.85990119,10.6920461,10.81405924,10.38218839,10.57144954,10.5105716,11.02923909,10.89114531,10.34366351,10.09112275,10.63776927,10.50801453
ENSMUSG00000094006,Igkv4-59,3.475878716,4.389137801,3.593886348,5.333323731,4.593075922,3.305299717,4.35191964,4.197853577,3.327678282,4.210011218,4.081889079,3.081471877,4.066755122,4.684686358,4.979089991,4.810168977,4.729737373,4.532345628,5.777078661,3.859333621,4.481098001,4.707791492,4.723964208,3.975679252
ENSMUSG00000076532,Igkv4-91,8.474941235,8.689503406,8.581300686,8.75548433,8.691279437,8.81672606,8.732039935,8.782021823,8.754199435,8.195458632,8.63639355,8.175430909,8.688396945,9.061502654,8.692422657,8.65243908,8.629674096,8.682104401,8.818447364,8.772973994,8.530816918,8.767164227,8.493064889,8.556018142
ENSMUSG00000094433,Igkv5-43,5.164963816,4.166847366,5.012786631,5.344963561,4.719073641,5.15152449,5.171971025,5.201545523,4.481721893,5.160294856,4.905472787,5.303522477,5.206413547,4.785771363,4.792137411,4.765149548,4.331382453,5.153797925,4.953568141,3.660641701,5.104171686,4.434413225,5.039270059,4.612135344
ENSMUSG00000095630,Igkv6-23,2.78303643,2.810726366,3.010620411,2.233107243,2.451563795,2.251327292,2.494977758,2.747053956,3.101679539,2.569196586,2.703643878,2.316627972,3.195542169,2.536952946,2.959209374,2.576327737,3.148488417,2.681867565,3.130379607,2.541831866,3.392127585,3.492150011,2.543193543,3.566631929
ENSMUSG00000096594,Igkv8-19,3.129666419,2.845324176,3.198462563,2.828501995,2.336594494,3.097067814,2.729728512,1.911567354,2.684113791,3.429249623,3.777629094,3.678356832,3.217058195,2.786754457,3.039918122,2.725489608,3.402236438,3.522010139,3.190150875,2.808158733,3.158015792,2.422485353,3.301022732,3.219789332
ENSMUSG00000096632,Igkv9-124,8.809019804,8.990207433,9.067094001,8.64292272,8.602199736,8.890518998,9.159290784,8.987919369,8.573822239,8.365392792,8.750913284,8.422457208,8.853140665,8.185892197,8.677790446,8.733399746,8.814932685,8.691620604,8.876765591,8.805442243,8.650556552,8.377850126,8.511737516,8.592268513
ENSMUSG00000076934,Iglv1,6.547104384,6.331907146,5.33705267,6.862289449,6.961607193,6.848271636,6.478652708,6.959676731,6.619196894,6.616748874,5.959363745,6.401822823,6.771118868,5.385043892,6.605063715,6.430680124,5.853159691,6.724130985,5.778504099,6.515257334,6.500726742,6.92793918,6.348231374,7.033113938
ENSMUSG00000031111,Igsf1,9.549679846,9.491379346,9.487961339,9.446557323,9.475541996,9.471885525,9.664497801,9.410472101,9.348034115,9.448642132,9.199670056,9.49935874,9.366683641,9.70233822,9.493715921,9.428475974,9.335018145,9.50164456,9.430036274,9.489760749,9.550561434,9.398129749,9.328309926,9.432866156
ENSMUSG00000000159,Igsf5,4.83592699,4.796837965,4.557460732,4.957111458,5.029116473,4.995248032,4.162507741,4.577137296,4.952862359,5.024744306,4.738410171,4.927615865,5.116876031,5.26407239,4.790067332,4.528761642,4.65437381,5.103646162,4.882203189,4.829825,4.600262592,5.138072262,4.647989773,4.478571744
ENSMUSG00000038034,Igsf8,4.677563356,5.1057987,4.995161203,4.860644737,4.697859742,4.951887783,4.869884343,5.144739863,5.004042064,5.229868644,4.493430562,4.986645719,5.090163595,5.11108604,4.671639052,4.68021537,5.453128903,4.947546586,5.166135117,5.276928277,5.015260073,5.011548677,5.022948775,5.211219261
ENSMUSG00000037995,Igsf9,8.647357468,8.662420124,8.512300402,8.697449292,8.880007744,8.706686889,8.577952205,9.169645968,9.343771129,8.813156762,8.381241285,8.652595025,8.690627564,8.730940846,8.876174975,9.154747085,8.336195327,8.61506657,8.851921632,8.510488349,8.523778629,9.222525911,8.835172283,9.039756038
ENSMUSG00000031537,Ikbkb,5.807493342,6.129535042,6.122768793,6.317062658,6.352841034,5.172680697,6.047634012,5.182170932,6.308973899,5.628531778,5.162111736,6.165461339,5.858690921,4.964262777,5.893219179,5.64774541,5.598068836,5.80095341,5.549901854,5.41480962,6.076111878,3.55903788,4.9161826,6.086620753
ENSMUSG00000004221,Ikbkg,4.441542954,4.556214274,4.456639579,4.521362055,4.698640212,4.821127584,4.653143916,4.430692187,4.663228615,4.316746083,5.002755086,4.486043737,4.514553621,4.453819063,4.438021006,4.671841504,4.536061163,4.475652169,4.458722897,4.441617015,4.353608173,4.760537385,4.638010599,4.450024768
