ENSEMBL,Symbol,WT_CT8_dup1,WT_CT8_dup2,WT_CT12_dup1,WT_CT12_dup2,WT_CT16_dup1,WT_CT16_dup2,WT_CT20_dup1,WT_CT20_dup2,WT_CT24_dup1,WT_CT24_dup2,WT_CT28_dup1,WT_CT28_dup2,KO_CT8_dup1,KO_CT8_dup2,KO_CT12_dup1,KO_CT12_dup2,KO_CT16_dup1,KO_CT16_dup2,KO_CT20_dup1,KO_CT20_dup2,KO_CT24_dup1,KO_CT24_dup2,KO_CT28_dup1,KO_CT28_dup2
ENSG00000173875,ZNF791,9.3824485,9.3206405,9.688087,9.6245705,9.2037205,9.5945135,9.38012,9.3253225,9.3861095,9.526049,9.736227,9.395069,9.066041,9.108914,9.2034085,9.5768675,9.3186605,9.2227255,9.374442,9.176625,9.339471,9.2018295,9.3001645,9.333492
ENSG00000180884,ZNF792,7.352310333,7.084534333,7.275937333,6.951942667,7.471582333,6.955918333,7.539701333,7.071400333,7.75574,7.139508333,7.635915333,6.928039333,6.907281667,7.07268,6.858575333,6.933522,6.801312333,7.08963,7.095857,6.982597667,7.213858333,6.962934,7.267847333,6.946087667
ENSG00000188227,ZNF793,7.533513,7.122384,7.94277,7.126643,7.126307,7.397235,7.592682,7.272667,7.837685,7.115677,8.091219,7.262457,6.989636,6.774377,6.681646,7.192142,7.596945,6.924097,6.989652,6.778029,6.98378,7.195475,7.334776,6.973269
ENSG00000278129,ZNF8,8.13730475,8.18232325,8.25636625,8.36927275,8.19082925,8.37560975,8.376187,8.26378725,8.64941125,8.044724,8.34086825,8.33035675,8.042883,8.385752,7.98621175,8.58396875,7.908517,8.429384,8.0712505,8.47044,8.16080275,8.353238,8.03253025,8.268783
ENSG00000174255,ZNF80,5.450324,5.622719,5.465219,6.360352,5.120501,6.597634,5.7334495,5.9891775,5.842314,5.843273,6.2837535,5.9420515,4.8295155,5.655178,4.900428,6.3298185,4.878977,5.5056375,5.2579195,5.8293875,5.384574,5.8572615,5.5965595,5.6763185
ENSG00000048405,ZNF800,8.725968,8.572749333,8.757751,8.525105,8.705911,8.538555667,8.756024333,8.556640333,8.708861667,8.807001333,8.932966333,8.759302,8.408301667,8.475441,8.385337,8.645079667,8.409140333,8.586369,8.627675,8.558341667,8.526504,8.571858667,8.429345,8.570754667
ENSG00000170396,ZNF804A,3.704464,4.4382425,3.9251915,4.519072,3.9510555,5.038325,4.162999,4.6536205,4.167905,4.6340015,4.2481095,4.5793195,4.5448825,4.584888,4.5294745,4.7591395,4.6090115,4.495363,4.139938,4.40679,4.35868,4.402899,4.1799015,4.2595085
ENSG00000182348,ZNF804B,3.0872315,3.175162,3.3052685,3.112224,3.2214845,3.053127,3.205686,3.18773,2.8503205,3.117896,3.116657,3.187236,3.391944,3.1050095,3.101394,3.4943395,3.1471175,3.224376,3.162626,3.200502,3.36041,2.8969265,3.7395135,3.113564
ENSG00000204524,ZNF805,9.53441,9.510598,9.676731,9.601171,9.702592,9.691094,9.881806,9.56932,9.775484,9.647331,9.831002,9.564552,9.881744,9.702362,9.679771,9.512239,9.649435,9.604746,9.902608,9.644852,9.914966,9.625913,9.867457,9.690068
ENSG00000198482,ZNF808,6.656445,6.707562,6.79843175,6.60533125,6.63582,6.6095425,6.58696675,6.68294475,6.671069,6.56278425,6.5852065,6.73004375,6.64620075,6.4147,6.554508,6.54326925,6.56038525,6.3418195,6.6688,6.393504,6.71383575,6.57602775,6.71592075,6.538656
ENSG00000197779,ZNF81,6.4848505,6.361464,6.2822155,6.5332035,6.631581,6.6246745,6.369778,6.5365675,6.8297085,6.433906,6.310393,6.2119905,6.467824,6.5137155,6.5238535,6.3341325,6.361193,6.581089,6.6225915,6.385778,6.5682055,6.1396225,6.401358,6.4551695
ENSG00000198346,ZNF813,5.137584,5.23465,4.090031,5.472315,4.111337,5.524516,4.366647,4.364288,4.525158,5.235887,4.689115,5.186171,4.811482,4.140434,5.112239,4.829688,6.746487,4.265022,4.953448,4.953911,5.589375,4.724962,4.698735,5.074142
ENSG00000204514,ZNF814,8.461492,8.448753,8.293521,8.417058,7.929682,8.508715,8.275039,8.482814,8.364786,8.299337,8.421763,8.346528,8.128745,8.155384,8.050488,8.286508,7.980816,8.144758,8.286384,8.314799,8.186068,8.37648,8.287368,8.361553
ENSG00000102984,ZNF821,7.20519,6.945542,7.228498,6.858044,7.239789,7.037761,7.181756,7.080329,7.261456,7.039773,7.450626,7.044898,7.038842,7.29947,7.066056,7.144036,6.836934,7.261018,6.936183,7.384094,7.138415,7.094163,7.21272,7.321427
ENSG00000197933,ZNF823,7.7066945,6.834509,7.433298,7.0638475,7.0647475,7.553816,7.307834,7.42918,7.9170595,7.009817,8.1472165,7.014494,6.3618545,6.8670655,6.7995085,7.043956,6.4583355,7.0045165,6.7557365,6.978541,6.8566285,7.1309805,6.7357035,6.205558
